Country or Area,Year(s),Value
Bénin,2012,705839
Bénin,2011,422968
Bénin,2009,889597
Burkina Faso,2012,3858046
Burkina Faso,2011,428113
Burkina Faso,2010,804539
Burkina Faso,2009,182527
Burkina Faso,2008,36514
Burkina Faso,2007,44246
Burkina Faso,2006,44265
Burkina Faso,2005,21335
Burkina Faso,2004,18256
Burkina Faso,2003,0
Burkina Faso,2002,0
Burkina Faso,2001,0
Cap-Vert,2012,1
Cap-Vert,2011,36
Cap-Vert,2010,18
Cap-Vert,2009,65
Cap-Vert,2008,16
Cap-Vert,2007,2
Cap-Vert,2006,63
Cap-Vert,2005,54
Cap-Vert,2004,32
Cap-Vert,2003,48
Cap-Vert,2002,58
Cap-Vert,2001,100
Cap-Vert,2000,129
Côte d'Ivoire,2012,1140627
Côte d'Ivoire,2011,29976
Côte d'Ivoire,2010,62726
Côte d'Ivoire,2009,7388
Côte d'Ivoire,2008,3527
Gambie,2012,300363
Gambie,2011,261967
Gambie,2010,116353
Gambie,2009,50378
Gambie,2008,39164
Ghana,2012,3755166
Ghana,2011,1041260
Ghana,2010,1071637
Ghana,2009,1104370
Ghana,2008,1094483
Ghana,2007,476484
Ghana,2006,472255
Ghana,2005,655093
Ghana,2004,475441
Guinée,2012,317200
Guinée,2011,95574
Guinée,2010,20936
Guinée,2009,35841
Guinée,2008,33405
Guinée,2007,44518
Guinée,2006,54227
Guinée,2005,50452
Guinée,2004,103069
Guinée,2003,107925
Guinée,2002,16561
Guinée,2001,6238
Guinée,2000,4800
Guinée-Bissau,2012,50381
Guinée-Bissau,2011,71982
Guinée-Bissau,2010,50391
Guinée-Bissau,2009,11757
Guinée-Bissau,2008,11299
Guinée-Bissau,2007,14284
Guinée-Bissau,2006,15120
Guinée-Bissau,2005,14659
Liberia,2012,1407455
Liberia,2011,1915762
Liberia,2010,922173
Liberia,2009,839581
Liberia,2008,606952
Liberia,2007,492272
Liberia,2006,761415
Liberia,2005,44875
Mali,2012,886482
Mali,2011,307035
Mali,2010,227482
Niger,2012,842343
Niger,2011,780876
Niger,2010,620058
Niger,2009,309675
Niger,2008,496858
Niger,2007,249027
Niger,2006,3956
Niger,2005,56043
Niger,2004,76030
Niger,2003,56460
Nigéria,2010,551187
Nigéria,2009,479845
Nigéria,2008,143079
Nigéria,2002,380
Nigéria,2001,150
Sénégal,2012,281958
Sénégal,2011,276242
Sénégal,2010,343670
Sénégal,2009,165933
Sénégal,2008,241926
Sénégal,2007,118332
Sénégal,2006,48070
Sénégal,2005,33160
Sénégal,2004,22234
Sénégal,2003,26865
Sénégal,2002,14425
Sénégal,2001,12920
Sénégal,2000,44959
Sierra Leone,2012,1537322
Sierra Leone,2011,638859
Sierra Leone,2010,934028
Sierra Leone,2009,646808
Sierra Leone,2008,154459
Sierra Leone,2006,4932
Sierra Leone,2005,4808
Sierra Leone,2004,2206
Sierra Leone,2003,3945
Sierra Leone,2002,3702
Sierra Leone,2001,2206
Togo,2012,697374
Togo,2011,519450
Togo,2010,617101
Togo,2009,391338
Togo,2008,344862
Togo,2007,221110
